sequence,tracker,detector,cores,smt,logical_cpus,frames,detect_ms,track_ms,total_ms,total_ci_low,total_ci_high,total_p95_ms,fps,decode_ms,tracks_in_flight,track_share,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,baseline_cpu_pct,cpu_model
arc02,classical,yolo_960,1,0,1,60,412.825,0.135,412.96,409.924,416.267,432.644,2.422,6.572,5.4,0.0,96.9,96.9,840.6,20.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,yolo_960,2,0,2,60,254.713,0.125,254.838,248.329,260.671,280.488,3.924,6.539,5.4,0.0,190.8,95.4,840.8,5.5,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,yolo_960,4,0,4,60,171.561,0.135,171.696,165.423,177.532,202.356,5.824,6.681,5.4,0.001,383.9,96.0,849.3,10.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,yolo_960,6,0,6,60,143.944,0.14,144.084,142.775,145.552,152.912,6.94,6.848,5.4,0.001,589.0,98.2,849.3,18.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,yolo_960,1,0,1,60,404.834,0.364,405.197,402.708,407.973,421.58,2.468,6.493,5.4,0.001,97.9,97.9,860.1,2.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,yolo_960,2,0,2,60,268.948,0.364,269.312,267.914,270.705,278.351,3.713,6.617,5.4,0.001,191.3,95.7,873.4,5.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,yolo_960,4,0,4,60,139.523,0.361,139.884,139.296,140.523,145.322,7.149,6.607,5.4,0.003,385.0,96.2,881.2,11.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,yolo_960,6,0,6,60,146.965,0.392,147.357,145.63,149.487,160.844,6.786,6.812,5.4,0.003,588.4,98.1,880.9,17.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,yolo_960,1,0,1,60,409.14,98.385,507.525,503.623,511.817,535.539,1.97,6.587,5.4,0.194,96.6,96.6,847.6,1.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,yolo_960,2,0,2,60,227.737,99.778,327.515,324.033,330.787,349.659,3.053,6.517,5.4,0.305,193.1,96.5,873.7,5.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,yolo_960,4,0,4,60,183.624,101.512,285.136,281.735,288.688,301.837,3.507,6.592,5.4,0.356,382.2,95.5,878.8,10.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,yolo_960,6,0,6,60,158.343,103.383,261.726,257.11,266.504,293.035,3.821,6.725,5.4,0.395,585.0,97.5,889.7,18.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,yolo_960,1,0,1,60,409.377,4479.028,4888.405,4757.351,5024.203,5387.074,0.205,6.588,5.4,0.916,97.9,97.9,7247.5,0.5,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,yolo_960,2,0,2,60,250.633,4393.661,4644.293,4516.396,4777.498,5147.762,0.215,6.429,5.4,0.946,108.6,54.3,7345.5,5.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,yolo_960,4,0,4,60,173.978,4374.676,4548.653,4422.553,4680.685,5062.99,0.22,6.395,5.4,0.962,122.6,30.6,7354.6,11.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,yolo_960,6,0,6,60,152.18,4375.661,4527.842,4397.089,4657.783,5102.791,0.221,6.401,5.4,0.966,135.1,22.5,7354.0,18.5,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc04,classical,yolo_960,1,0,1,60,402.066,0.112,402.178,400.915,403.453,409.985,2.486,3.607,4.0,0.0,96.1,96.1,818.3,1.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc04,classical,yolo_960,2,0,2,60,265.042,0.108,265.15,261.837,268.122,276.502,3.771,3.668,4.0,0.0,192.0,96.0,826.6,3.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc04,classical,yolo_960,4,0,4,60,178.928,0.107,179.035,178.371,179.778,183.793,5.585,3.656,4.0,0.001,384.9,96.2,827.4,11.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc04,classical,yolo_960,6,0,6,60,143.292,0.11,143.403,142.021,145.105,149.094,6.973,3.847,4.0,0.001,592.1,98.7,828.3,19.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc04,sort,yolo_960,1,0,1,60,402.888,0.296,403.184,401.042,405.228,417.244,2.48,3.591,4.0,0.001,96.8,96.8,854.9,3.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc04,sort,yolo_960,2,0,2,60,266.814,0.294,267.107,266.468,267.863,273.068,3.744,3.675,4.0,0.001,191.3,95.7,858.2,4.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc04,sort,yolo_960,4,0,4,60,176.431,0.301,176.731,176.074,177.373,180.646,5.658,3.713,4.0,0.002,385.2,96.3,861.0,10.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc04,sort,yolo_960,6,0,6,60,151.415,0.331,151.746,148.73,155.206,185.526,6.59,3.872,4.0,0.002,587.7,98.0,860.5,16.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
